Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2019,Kia Seltos HTX Plus AT D,"33,000",Diesel,Automatic,11.50,"Park Street Area, Kolkata"
2019,Ford Ecosport 1.5 Diesel Trend BSIV,"55,259",Diesel,Manual,5.95,"Kasba, Kolkata"
2018,Hyundai Verna VTVT 1.6 SX Option,"27,000",Petrol,Manual,6.99,"Salt Lake City, Kolkata"
2016,Hyundai i20 Active 1.2 SX,"65,000",Petrol,Manual,3.53,"Entally, Kolkata"
2019,Tata Harrier XZ BSIV,"43,000",Diesel,Manual,10.75,"Kalighat, Kolkata"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"36,959",Petrol,Manual,4.31,"Kankurgachi, Kolkata"
2014,Volkswagen Polo 1.5 TDI Comfortline,"34,000",Diesel,Manual,2.40,"Airport Po, Kolkata"
2019,Hyundai Venue S BSIV,"54,000",Petrol,Manual,6.50,"Kalighat, Kolkata"
2022,Nissan Magnite XL BSVI,"40,904",Petrol,Manual,5.05,"University, Kolkata"
2012,Hyundai i20 Sportz 1.2,"54,240",Petrol,Manual,2.29,"Kankurgachi, Kolkata"
2009,Maruti Zen Estilo 1.1 VXI BSIII,"15,874",Petrol,Manual,1.30,"Beleghata, Kolkata"
2017,Maruti Dzire ZXI,"6,988",Petrol,Manual,5.59,"Kankurgachi, Kolkata"
2024,Mahindra Bolero Neo N8,"1,500",Diesel,Manual,11.93,"Entally, Kolkata"
2019,Kia Seltos HTX Plus AT D,"32,904",Diesel,Automatic,11.50,"Vaishya Sabha, Kolkata"
2021,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"15,008",Petrol,Manual,5.97,"Kankurgachi, Kolkata"
2022,Mahindra XUV700 AX7 Diesel AT Luxury Pack BSVI,"10,204",Diesel,Automatic,21,"Vaishya Sabha, Kolkata"
2014,Hyundai i20 Asta Option 1.4 CRDi,"35,000",Diesel,Manual,3.85,"Salt Lake City, Kolkata"
2018,Mahindra XUV500 AT W10 FWD,"37,000",Diesel,Automatic,9.50,"Salt Lake City, Kolkata"
2022,Jeep Compass Model S DCT BSVI,"21,000",Petrol,Automatic,16.50,"Kasba, Kolkata"
2020,Maruti Swift VXI,"53,844",Petrol,Manual,5.01,"Kankurgachi, Kolkata"
2018,Mahindra Bolero Plus AC,"52,000",Diesel,Manual,6.85,"Bansdroni, Kolkata"
2021,Hyundai i20 Sportz IVT BSVI,"47,000",Petrol,Automatic,6.49,"Kalikapur, Kolkata"
2018,Maruti Vitara Brezza VDi,"44,046",Diesel,Manual,5.78,"Airport Po, Kolkata"
2018,Honda City i-VTEC CVT VX,"42,234",Petrol,Automatic,6.69,"Kalighat, Kolkata"
2011,Chevrolet Beat LT,"43,611",Petrol,Manual,1.75,"Narendrapur, Kolkata"
2014,Ford Ecosport 1.5 Ti VCT AT Titanium,"49,500",Petrol,Automatic,3.85,"Kasba, Kolkata"
2014,Nissan Sunny XV,"31,156",Petrol,Manual,3.34,"Kankurgachi, Kolkata"
2020,Mahindra Bolero B6 Opt BSVI,"55,000",Diesel,Manual,6.95,"Bansdroni, Kolkata"
2014,Honda Amaze S i-Dtech,"36,000",Diesel,Manual,2.30,"Airport Po, Kolkata"
2020,Hyundai Venue SX Turbo,"32,202",Petrol,Manual,7.49,"Airport Po, Kolkata"
2020,Mahindra XUV300 W6 BSVI,"54,669",Petrol,Manual,6,"Vaishya Sabha, Kolkata"
2017,Tata Nexon XE Diesel,"55,537",Diesel,Manual,4.89,"Kankurgachi, Kolkata"
2020,Hyundai i20 Asta Option BSIV,"35,334",Petrol,Manual,5.70,"University, Kolkata"
2019,Hyundai Verna VTVT 1.6 SX,"68,319",Petrol,Manual,6.44,"University, Kolkata"
2016,Hyundai i20 Sportz 1.2,"36,000",Petrol,Manual,3.50,"Airport Po, Kolkata"
2021,Mahindra Bolero B6 Opt,"80,000",Diesel,Manual,6.99,"Ballygunge, Kolkata"
2017,Maruti Ertiga SHVS VDI,"65,000",Diesel,Manual,6.95,"Bansdroni, Kolkata"
2016,Maruti Baleno Alpha Diesel,"84,633",Diesel,Manual,4.39,"Kankurgachi, Kolkata"
2017,Hyundai Creta 1.4 CRDi S Plus,"43,000",Diesel,Manual,5.75,"Kalighat, Kolkata"
2023,Hyundai Creta SX Opt Turbo DCT,"9,893",Petrol,Automatic,14.93,"Airport Po, Kolkata"
2022,Hyundai Venue SX Plus Turbo DCT,"26,897",Petrol,Automatic,8.98,"Airport Po, Kolkata"
2019,Maruti Ciaz Delta,"23,000",Petrol,Manual,6.50,"Jadavpur University, Kolkata"
2017,Datsun RediGO 1.0 T Option,"35,000",Petrol,Manual,1.99,"Airport Po, Kolkata"
2021,Maruti Alto 800 VXI,"4,047",Petrol,Manual,3.29,"Kankurgachi, Kolkata"
2019,Mahindra XUV500 W3 BSIV,"31,132",Diesel,Manual,8,"Netaji Nagar, Kolkata"
2022,Hyundai Venue SX DT Diesel,"25,000",Diesel,Manual,8.90,"Ballygunge, Kolkata"
2013,Maruti Ritz LDi,"1,00,500",Diesel,Manual,1.99,"Kasba, Kolkata"
2019,Hyundai Grand i10 Nios AMT Sportz,"50,000",Petrol,Automatic,5,"Watgunge, Kolkata"
2014,Hyundai Grand i10 Asta,"57,000",Petrol,Manual,3.25,"Bansdroni, Kolkata"
2020,Hyundai Creta SX Opt Turbo BSVI,"34,274",Petrol,Automatic,10.49,"Kalighat, Kolkata"
2021,Maruti S-Presso VXI Plus 2019-2022,"37,445",Petrol,Manual,3.70,"University, Kolkata"
2019,Renault KWID 1.0 RXT Opt,"14,639",Petrol,Manual,3.21,"Kankurgachi, Kolkata"
2019,Kia Seltos GTX Plus,"39,000",Petrol,Manual,11,"Ballygunge, Kolkata"
2013,Maruti Wagon R VXI BS IV,"38,000",Petrol,Manual,2.60,"Jadavpur University, Kolkata"
2019,Renault Duster RXS BSIV,"26,018",Petrol,Manual,4.89,"University, Kolkata"
2019,Kia Seltos GTX Plus,"47,000",Petrol,Manual,10.35,"Rash Behari Avenue, Kolkata"
2020,Kia Seltos HTX G,"19,000",Petrol,Manual,9.25,"Ballygunge, Kolkata"
2016,Maruti Baleno 1.2 CVT Delta,"60,141",Petrol,Automatic,4.25,"Salt Lake City, Kolkata"
2015,Hyundai i20 Asta 1.2,"48,000",Petrol,Manual,3.99,"Bansdroni, Kolkata"
2018,Hyundai Creta 1.6 VTVT AT SX Plus,"38,430",Petrol,Automatic,8.50,"Vaishya Sabha, Kolkata"
2015,Hyundai Verna 1.6 SX VTVT,"28,000",Petrol,Manual,3.90,"Kasba, Kolkata"
2021,Hyundai Santro Magna Corp Edition,"17,062",Petrol,Manual,3.96,"Kankurgachi, Kolkata"
2022,Mahindra Scorpio S5,"52,000",Diesel,Manual,11.65,"Bansdroni, Kolkata"
2014,Mahindra XUV500 W8 2WD,"41,000",Diesel,Manual,5.50,"Salt Lake City, Kolkata"
2021,Kia Carnival Prestige,"14,600",Diesel,Automatic,23.75,"Ballygunge Rs, Kolkata"
2019,Mercedes-Benz GLE 43 AMG Coupe,"28,500",Petrol,Automatic,56.50,"Ballygunge Rs, Kolkata"
2019,Jeep Compass 2.0 Limited Plus BSIV,"25,000",Diesel,Manual,12.50,"Salt Lake City, Kolkata"
2020,Tata Nexon 1.5 Revotorq XM,"35,000",Diesel,Manual,6.99,"Jadavpur University, Kolkata"
2015,Maruti Alto 800 LXi,"34,911",Petrol,Manual,2.31,"Kankurgachi, Kolkata"
2018,Maruti Baleno 1.2 CVT Alpha,"42,000",Petrol,Automatic,5.49,"Park Street Area, Kolkata"
2017,Hyundai i20 1.2 Magna Executive,"64,000",Petrol,Manual,3.50,"Ballygunge, Kolkata"
2013,Honda Amaze SX i-VTEC,"58,000",Petrol,Manual,2.55,"Ballygunge, Kolkata"
2019,Toyota Glanza V CVT,"30,245",Petrol,Automatic,5.99,"Alipore, Kolkata"
2019,Kia Seltos GTX Plus,"60,000",Petrol,Manual,10.99,"Watgunge, Kolkata"
2020,MG Gloster Savvy 6-Str,"31,999",Diesel,Automatic,26,"Vaishya Sabha, Kolkata"
2020,Maruti Baleno Zeta Diesel,"20,012",Diesel,Manual,6.29,"Airport Po, Kolkata"
2022,Mahindra XUV700 AX7L 7Str Diesel AT,"10,200",Diesel,Automatic,20.99,"Park Street Area, Kolkata"
2017,Maruti Alto 800 LXi,"27,760",Petrol,Manual,2.33,"Kankurgachi, Kolkata"
2021,Hyundai i20 Magna BSVI,"33,521",Petrol,Manual,5.59,"University, Kolkata"
2020,Renault KWID Climber 1.0 MT Opt,"13,107",Petrol,Manual,4.06,"Kankurgachi, Kolkata"
2023,Volkswagen Taigun 1.5 TSI GT Plus BSVI,"36,900",Petrol,Manual,10.99,"Park Street Area, Kolkata"
2021,Kia Seltos GTX Plus Diesel AT,"52,275",Diesel,Automatic,13,"Vaishya Sabha, Kolkata"
2020,Hyundai Creta SX BSVI,"21,619",Petrol,Manual,9.80,"University, Kolkata"
2016,Maruti Swift VXI,"51,000",Petrol,Manual,3.35,"Parnasree Pally, Kolkata"
2023,Toyota Hyryder G HYBRID BSVI,"12,000",Petrol,Automatic,14.95,"Ballygunge, Kolkata"
2020,Maruti Wagon R VXI 1.2,"45,000",Petrol,Manual,4.45,"Bansdroni, Kolkata"
2023,Tata Tiago XT,"14,000",Petrol,Manual,6.99,"Entally, Kolkata"
2018,Toyota Innova Crysta 2.4 G MT 8S BSIV,"64,000",Diesel,Manual,14.95,"Kasba, Kolkata"
2018,Mercedes-Benz S-Class S 350 d,"19,600",Diesel,Automatic,57.50,"Ballygunge Rs, Kolkata"
2019,Kia Seltos GTX Plus,"46,000",Petrol,Manual,9.95,"Ballygunge, Kolkata"
2022,Skoda Slavia 1.5 TSI Ambition,"15,180",Petrol,Manual,10.44,"Airport Po, Kolkata"
2024,Honda Amaze 2nd Gen VX BSVI,"9,000",Petrol,Manual,7.95,"Ballygunge, Kolkata"
2020,Renault KWID Climber 1.0 MT Opt,"24,541",Petrol,Manual,3.78,"Kankurgachi, Kolkata"
