Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2019,Hyundai Venue S Turbo BSIV,"32,000",Petrol,Manual,8,"Anna Nagar, Chennai"
2023,Hyundai Aura SX,"8,800",Petrol,Manual,7.90,"Medavakkam, Chennai"
2018,Hyundai Grand i10 1.2 Kappa Sportz Option AT,"42,605",Petrol,Automatic,4.83,"Ganapathipuram, Chennai"
2018,Hyundai EON Magna,"49,915",Petrol,Manual,3.47,"Vadapalani, Chennai"
2019,Hyundai i20 Sportz Plus BSIV,"35,381",Petrol,Manual,6.45,"Anna Nagar, Chennai"
2020,Kia Seltos HTK Plus D,"40,000",Diesel,Manual,12.95,"Anna Nagar, Chennai"
2020,Maruti Swift VXI,"58,304",Petrol,Manual,6,"Anna Nagar, Chennai"
2020,Jeep Compass 2.0 Limited Plus AT,"49,000",Diesel,Automatic,19,"Triplicane, Chennai"
2020,Hyundai i20 Asta Opt Turbo DCT,"30,000",Petrol,Automatic,8.60,"Thygaraya Nagar, Chennai"
2016,Ford Figo 1.2P Titanium MT,"88,695",Petrol,Manual,4.10,"Chromepet, Chennai"
2021,Toyota Innova Crysta 2.4 ZX 7 STR AT,"12,000",Diesel,Automatic,29,"Thygaraya Nagar, Chennai"
2009,Toyota Fortuner 3.0 Diesel,"1,64,000",Diesel,Manual,9.95,"Triplicane, Chennai"
2016,Maruti Celerio VXI AT Optional,"37,456",Petrol,Automatic,4.10,"Chromepet, Chennai"
2016,Land Rover Range Rover Evoque HSE,"69,000",Diesel,Automatic,23,"Kottivakkam, Chennai"
2017,Renault KWID 1.0 AMT RXT,"85,715",Petrol,Automatic,3.18,"Vadapalani, Chennai"
2022,Renault Triber RXT,"47,535",Petrol,Manual,6.18,"Thiruverkadu, Chennai"
2017,Hyundai i20 Sportz 1.2,"68,883",Petrol,Manual,5.60,"Vadapalani, Chennai"
2017,Maruti Celerio ZXI Optional AMT BSIV,"25,754",Petrol,Automatic,4.31,"Thiruverkadu, Chennai"
2013,Maruti Wagon R VXI BS IV,"25,654",Petrol,Manual,3.28,"Ganapathipuram, Chennai"
2020,Hyundai Venue SX Opt iMT,"40,172",Petrol,Manual,7.80,"Vadapalani, Chennai"
2022,Hyundai Venue SX,"63,531",Petrol,Manual,9.12,"Airport, Chennai"
2022,Maruti Wagon R ZXI 1.2,"25,033",Petrol,Manual,5.68,"Vadapalani, Chennai"
2018,Renault KWID 1.0 RXT Optional,"50,242",Petrol,Manual,3.22,"Thiruverkadu, Chennai"
2023,Toyota Innova Hycross VX 8STR Hybrid BSVI,"19,000",Petrol,Automatic,29.50,"Thygaraya Nagar, Chennai"
2019,Hyundai Venue SX Opt Turbo BSIV,"45,000",Petrol,Manual,7.50,"Kottivakkam, Chennai"
2022,Nissan Magnite Turbo CVT XV BSVI,"21,122",Petrol,Automatic,8.15,"Vadapalani, Chennai"
2019,Hyundai Venue S Turbo BSIV,"32,000",Petrol,Manual,8.25,"Medavakkam, Chennai"
2019,Maruti Ertiga VXI AT Petrol,"1,64,000",Petrol,Automatic,9.25,"Thygaraya Nagar, Chennai"
2022,Maruti Vitara Brezza ZXI,"12,480",Petrol,Manual,8.90,"Chromepet, Chennai"
2015,Honda Jazz 1.2 VX i VTEC,"85,113",Petrol,Manual,3.80,"Meenambakkam, Chennai"
2015,Hyundai Grand i10 Magna,"65,000",Petrol,Manual,4.10,"Kovilambakkam, Chennai"
2018,Tata Nexon XZ Plus (O) Diesel,"86,982",Diesel,Manual,6.57,"Airport, Chennai"
2019,Maruti Baleno Alpha Diesel,"1,11,994",Diesel,Manual,5.78,"Vadapalani, Chennai"
2017,Hyundai EON Era,"98,874",Petrol,Manual,2.75,"Vadapalani, Chennai"
2020,Tata Tigor 1.2 Revotron XM,"92,454",Petrol,Manual,4.24,"Vadapalani, Chennai"
2018,Maruti Baleno Alpha Diesel,"76,426",Diesel,Manual,6.49,"Vadapalani, Chennai"
2017,Honda Jazz 1.2 V AT i VTEC,"36,326",Petrol,Automatic,5.38,"Thiruverkadu, Chennai"
2016,Volvo S60 Cross Country D4 AWD,"53,000",Diesel,Automatic,23.50,"Kottivakkam, Chennai"
2019,Hyundai i20 Sportz Plus CVT BSIV,"33,718",Petrol,Automatic,6.13,"Ganapathipuram, Chennai"
2021,Renault KWID Climber 1.0 MT Opt,"34,446",Petrol,Manual,4.57,"Airport, Chennai"
2020,Maruti Baleno Delta,"40,001",Petrol,Manual,6.60,"Anna Nagar, Chennai"
2017,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"76,267",Petrol,Manual,4.27,"Thiruverkadu, Chennai"
2023,Maruti Baleno Alpha BSVI,"14,428",Petrol,Manual,8.56,"Vadapalani, Chennai"
2022,Maruti Swift VXI BSVI,"23,000",Petrol,Manual,6.85,"Kovilambakkam, Chennai"
2016,Mercedes-Benz M-Class ML 250 CDI,"80,000",Diesel,Automatic,22.50,"Ashoknagar, Chennai"
2023,Mercedes-Benz GLS 400d 4MATIC,"15,000",Diesel,Automatic,1.20 Crore,"Medavakkam, Chennai"
2023,Maruti Jimny Alpha,"7,600",Petrol,Manual,13.50,"Triplicane, Chennai"
2018,Hyundai i20 Petrol CVT Asta,"76,369",Petrol,Automatic,5.79,"Thiruverkadu, Chennai"
2019,Tata Nexon 1.2 Revotron XZ Plus,"43,000",Petrol,Manual,6.85,"Anna Nagar, Chennai"
2022,Hyundai Aura SX,"25,642",Petrol,Manual,6.64,"Ganapathipuram, Chennai"
2017,Volkswagen Ameo 1.2 MPI Highline,"44,754",Petrol,Manual,4.46,"Ganapathipuram, Chennai"
2022,Tata Altroz XZA DCT BSVI,"13,334",Petrol,Automatic,7.45,"Ganapathipuram, Chennai"
2022,BMW 3 Series Gran Limousine 320Ld Luxury Line,"30,000",Diesel,Automatic,45,"Thygaraya Nagar, Chennai"
2012,Maruti Swift Dzire ZXi,"45,241",Petrol,Manual,4.39,"Vadapalani, Chennai"
2020,Renault KWID Climber 1.0 MT Opt,"41,942",Petrol,Manual,3.81,"Vadapalani, Chennai"
2018,Skoda Kodiaq 2.0 TDI Style,"1,18,002",Diesel,Automatic,22,"Kottivakkam, Chennai"
2017,Maruti Ignis 1.2 Zeta BSIV,"73,890",Petrol,Manual,4.20,"Ganapathipuram, Chennai"
2017,Maruti Wagon R AMT VXI,"41,035",Petrol,Automatic,3.78,"Ganapathipuram, Chennai"
2015,Honda Brio S MT,"63,000",Petrol,Manual,3.60,"Chromepet, Chennai"
2021,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"44,793",Petrol,Manual,6.11,"Vadapalani, Chennai"
2020,Maruti Ignis 1.2 AMT Alpha BSIV,"77,157",Petrol,Automatic,5.40,"Ganapathipuram, Chennai"
2021,Maruti Ciaz Sigma BSVI,"48,701",Petrol,Manual,6.97,"Vadapalani, Chennai"
2016,Hyundai Grand i10 Asta Option AT,"33,014",Petrol,Automatic,4.34,"Vadapalani, Chennai"
2011,Jaguar XF Aero Sport Edition,"38,000",Diesel,Automatic,12.50,"Ashoknagar, Chennai"
2021,Skoda Rapid 1.0 TSI Style,"34,339",Petrol,Manual,8.65,"Thiruverkadu, Chennai"
2022,Maruti Ignis Sigma BSVI,"33,926",Petrol,Manual,5,"Ganapathipuram, Chennai"
2019,Hyundai Venue SX Plus Turbo DCT BSIV,"74,740",Petrol,Automatic,7.25,"Chromepet, Chennai"
2020,Mercedes-Benz C-Class Progressive C 200,"41,000",Petrol,Automatic,33,"Thygaraya Nagar, Chennai"
2020,Honda City V MT,"37,000",Petrol,Manual,7.25,"Velacheri, Chennai"
2012,Maruti Swift AMT ZXI,"1,22,346",Petrol,Automatic,3.85,"Vadapalani, Chennai"
2020,Mercedes-Benz C-Class Prime C 200,"53,000",Petrol,Automatic,35,"Kottivakkam, Chennai"
2018,Maruti Celerio X VXI BSIV,"53,000",Petrol,Manual,3.90,"Medavakkam, Chennai"
2018,Renault KWID Climber 1.0 MT,"68,643",Petrol,Manual,3.92,"Vadapalani, Chennai"
2017,Maruti Celerio ZXI,"81,031",Petrol,Manual,4.09,"Vadapalani, Chennai"
2021,Tata Harrier XZ Plus BSVI,"11,000",Diesel,Manual,16.20,"Anna Nagar, Chennai"
2022,Hyundai Venue SX Turbo Executive,"68,325",Diesel,Manual,9.24,"Ganapathipuram, Chennai"
2022,Renault KWID CLIMBER BSVI,"32,655",Petrol,Manual,5.07,"Thiruverkadu, Chennai"
2020,Honda City V CVT,"50,155",Petrol,Automatic,10.35,"Meenambakkam, Chennai"
2018,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"61,190",Petrol,Manual,5.53,"Vadapalani, Chennai"
2021,MG Hector Hybrid Sharp MT,"42,000",Petrol,Manual,13.90,"Anna Nagar West Extension, Chennai"
2016,Ford Aspire 1.2 Ti-VCT Titanium,"77,728",Petrol,Manual,3.60,"Vadapalani, Chennai"
2022,Jeep Compass 2.0 Model S Opt,"12,000",Diesel,Manual,22.50,"Thygaraya Nagar, Chennai"
2018,Hyundai Santro Magna Corp Edition,"32,612",Petrol,Manual,4.56,"Vadapalani, Chennai"
2018,Hyundai Verna VTVT 1.6 SX,"62,763",Petrol,Manual,7.11,"Ganapathipuram, Chennai"
2022,Skoda Kushaq 1.0 TSI Ambition BSVI,"24,841",Petrol,Manual,10.93,"Vadapalani, Chennai"
2017,Hyundai i20 Asta 1.2,"77,624",Petrol,Manual,5.55,"Vadapalani, Chennai"
2018,Maruti Vitara Brezza VDi,"65,909",Diesel,Manual,8.50,"Koyambedu, Chennai"
2015,Honda Amaze VX i-VTEC,"52,485",Petrol,Manual,4.23,"Vadapalani, Chennai"
2016,Maruti Wagon R Stingray VXI,"31,690",Petrol,Manual,3.98,"Airport, Chennai"
2018,Renault KWID 1.0 RXT Opt,"7,586",Petrol,Manual,3.80,"Vadapalani, Chennai"
2022,BMW X5 xDrive 40i M Sport,"16,500",Petrol,Automatic,84,"Thygaraya Nagar, Chennai"
