Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2020,Maruti S Cross Alpha AT,"25,756",Petrol,Automatic,10.85,"Bellandur, Bangalore"
2020,Audi Q8 55 TFSI Quattro BSVI,"24,000",Petrol,Automatic,85,"R T Nagar, Bangalore"
2022,Nissan Magnite Turbo CVT XV Premium Opt BSVI,"24,510",Petrol,Automatic,8.85,"Hsr Layout, Bangalore"
2017,Volkswagen Ameo 1.0 MPI Comfortline,"97,620",Petrol,Manual,4.75,"Koramangala Vi Bk, Bangalore"
2019,BMW X3 xDrive 20d Luxury Line,"39,000",Diesel,Automatic,42,"R T Nagar, Bangalore"
2022,Kia Sonet HTX Diesel AT BSVI,"41,748",Diesel,Automatic,11.65,"City, Bangalore"
2021,Mercedes-Benz GLA 200,"27,000",Petrol,Automatic,39.75,"R T Nagar, Bangalore"
2018,Land Rover Range Rover Evoque Petrol HSE Dynamic,"33,974",Petrol,Automatic,44.75,"BTM Layout, Bangalore"
2021,Hyundai Santro Sportz AMT,"7,606",Petrol,Automatic,5.72,"Mahadevapura, Bangalore"
2017,Maruti Ignis 1.2 AMT Zeta BSIV,"37,879",Petrol,Automatic,5.32,"Jakkur, Bangalore"
2021,Maruti S Cross Delta AT,"65,700",Petrol,Automatic,7.64,"Btm Layout, Bangalore"
2019,Hyundai Santro Magna AMT BSIV,"8,500",Petrol,Automatic,4.85,"Bazaar, Bangalore"
2016,Maruti Baleno 1.2 Zeta,"75,000",Petrol,Manual,5.75,"Seshadripuram, Bangalore"
2016,Hyundai Creta 1.6 VTVT SX Plus,"37,000",Petrol,Manual,9.25,"Bommanahalli, Bangalore"
2011,Honda City S,"93,795",Petrol,Manual,3.30,"Jp Nagar Iii Phase, Bangalore"
2014,Ford Ecosport 1.5 DV5 MT Titanium Optional,"1,17,856",Diesel,Manual,5.10,"Electronics City, Bangalore"
2015,Hyundai i20 1.2 Anniversary Edition,"65,000",Petrol,Manual,5.25,"Bommanahalli, Bangalore"
2023,MG Hector Sharp CVT,"9,326",Petrol,Automatic,19.95,"Nagavara, Bangalore"
2017,Maruti Swift VXI,"55,000",Petrol,Manual,6.50,"City, Bangalore"
