Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2020,Kia Seltos GTX DCT,"28,167",Petrol,Automatic,12.14,"Ramgarh B.o, Gurgaon"
2021,Renault Kiger RXZ,"23,702",Petrol,Manual,6.28,Noida
2017,Mercedes-Benz E-Class Exclusive E 200,"48,500",Petrol,Automatic,36,"Janakpuri, New Delhi"
2020,Land Rover Discovery Sport S Diesel,"24,000",Diesel,Automatic,51.50,"Naraina, New Delhi"
2022,Renault Kiger RXZ Turbo,"28,995",Petrol,Manual,6.85,"City, Faridabad"
2017,Jeep Compass 2.0 Longitude BSIV,"45,350",Diesel,Manual,7.50,"Saket, New Delhi"
2023,Lexus LX 500d,"37,500",Diesel,Automatic,2.88 Crore,"Tilak Nagar East, New Delhi"
2023,Hyundai Exter SX,"17,100",Petrol,Manual,7.99,"Chittranjan Park, New Delhi"
2019,Kia Seltos HTK Plus G,"42,407",Petrol,Manual,8.93,"Pitampura, New Delhi"
2019,Jeep Compass 1.4 Limited Plus BSIV,"47,000",Petrol,Automatic,13.50,"Janakpuri, New Delhi"
2020,Audi A6 45 TFSI Premium Plus BSVI,"79,310",Petrol,Automatic,40,"Badarpur, New Delhi"
2023,Kia Carens Luxury Opt Diesel AT,"4,100",Diesel,Automatic,19.50,"Ramesh Nagar, New Delhi"
2022,Kia Sonet GTX Plus Turbo iMT,"46,106",Petrol,Automatic,9.97,Noida
2020,Maruti Swift LXI,"38,500",Petrol,Manual,5,"Ramesh Nagar, New Delhi"
2012,Honda City S,"90,000",Petrol,Manual,2.50,New Delhi
2023,Maruti Celerio VXI,"16,000",Petrol,Manual,5.49,"Badshahpur, Gurgaon"
2018,Maruti Ignis 1.2 Delta BSIV,"45,000",Petrol,Manual,4.50,"Sector 18, Noida"
2020,Volvo XC 90 B6 Ultimate,"27,000",Petrol,Automatic,73,"Naraina, New Delhi"
2016,Honda Jazz 1.2 V i VTEC,"55,000",Petrol,Manual,4.50,"Sector 18, Noida"
2021,Kia Sonet HTX Plus Turbo iMT,"32,620",Petrol,Automatic,9.95,"Sector 28, Gurgaon"
2019,Maruti Swift LXI,"57,000",Petrol,Manual,5.25,"Preet Vihar, New Delhi"
2017,Honda Amaze 2nd Gen S,"59,844",Petrol,Manual,4.09,"Indirapuram, Ghaziabad"
2023,BMW 6 Series GT 630i M Sport BSVI,"27,881",Petrol,Automatic,63,"Sector 21e, Gurgaon"
2021,MG Hector Shine MT,"4,710",Petrol,Manual,13.90,"Chittranjan Park, New Delhi"
2021,Audi Q8 Celebration Edition,"31,258",Petrol,Automatic,79.75,"Patparganj, New Delhi"
