Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2020,Honda City ZX MT Diesel,"1,05,155",Diesel,Manual,11.50,"Gandhi Bhawan, Hyderabad"
2019,Maruti Swift Dzire AMT VXI,"69,292",Petrol,Automatic,5.70,"Begumbazar, Hyderabad"
2015,Honda City VX MT,"56,929",Petrol,Manual,6.71,"Miyapur, Hyderabad"
2019,Maruti Dzire VXI,"40,867",Petrol,Manual,6.05,"Uppal, Hyderabad"
2009,Maruti Swift Dzire VDi,"88,012",Diesel,Manual,2.45,"Nagole, Hyderabad"
2018,Mercedes-Benz GLA Class 200 d Sport,"78,678",Diesel,Automatic,23,"Gandhi Bhawan, Hyderabad"
2020,Maruti Swift VXI AMT,"73,767",Petrol,Automatic,5.83,"Rangareddi, Hyderabad"
2011,Maruti Alto K10 VXI,"91,474",Petrol,Manual,1.60,"Miyapur, Hyderabad"
2022,Maruti Baleno Alpha,"56,693",Petrol,Manual,8.50,"Nagol, Hyderabad"
2021,Honda City i-VTEC CVT ZX,"87,000",Petrol,Automatic,12.25,"Madhapur, Hyderabad"
2020,Audi A6 45 TFSI Technology,"51,000",Petrol,Automatic,38.95,"Banjara Hills, Hyderabad"
2022,Hyundai i20 N-Line N8 iMT BSVI,"24,691",Petrol,Manual,9.80,"Madhapur, Hyderabad"
2016,Maruti Vitara Brezza VDi Option,"1,05,000",Diesel,Manual,6.75,"Lb Nagar, Hyderabad"
2017,Hyundai Creta 1.6 CRDi SX,"1,50,000",Diesel,Manual,8.50,"Lb Nagar, Hyderabad"
2016,Maruti Celerio VXI,"1,20,576",Petrol,Manual,2.91,"Miyapur, Hyderabad"
2015,Maruti Wagon R VXI BS IV,"59,000",Petrol,Manual,3.70,"Lb Nagar, Hyderabad"
2021,Maruti Vitara Brezza ZXI Plus,"45,443",Petrol,Manual,9.90,"Musheerabad Dso, Hyderabad"
2019,Honda WR-V i-VTEC VX,"46,153",Petrol,Manual,7.68,"Uppal, Hyderabad"
2011,Hyundai i10 Magna,"68,000",Petrol,Manual,2.45,"Bowenpally, Hyderabad"
2019,Toyota Glanza V CVT,"48,495",Petrol,Automatic,5.90,"Begumbazar, Hyderabad"
2016,Hyundai i20 Active 1.4 SX,"1,02,958",Diesel,Manual,5.78,"Miyapur, Hyderabad"
2019,Mahindra TUV 300 T10 BSIV,"79,992",Diesel,Manual,8,"Nagole, Hyderabad"
2019,Maruti Wagon R AMT VXI,"67,000",Petrol,Automatic,4.94,"L B Nagar, Hyderabad"
2023,Maruti Swift VXI,"4,10,000",Petrol,Manual,7,"Lb Nagar, Hyderabad"
